loadId,relationshipType,fromDrniId,toDrniId,metadataPurpose,relationshipTypeList,p1CreateActivity,p1Latest,latest,primary,drniId,internalPurpose,internalCreate,internalCreateActivity,name
103,IS_COMPATIBLE,60002,60004,TRUE,HAS_CONNECTION_COMPONENT,9999,TRUE,1,,,,,,
104,IS_COMPATIBLE,60002,60003,TRUE,HAS_CONNECTION_COMPONENT,9999,TRUE,1,,,,,,
105,IS_COMPATIBLE,10005,60004,TRUE,HAS_LOGICAL,9999,TRUE,1,,,,,,
106,IS_COMPATIBLE,10005,60001,TRUE,PRESENTS,9999,TRUE,1,,,,,,
107,IS_COMPATIBLE,60004,60003,TRUE,PRESENTS,9999,TRUE,1,,,,,,
108,IS_COMPATIBLE,60003,60001,TRUE,DRAWN_FROM,9999,TRUE,1,,,,,,
109,HAS_ARCHETYPE,70002,60002,TRUE,,9999,TRUE,1,TRUE,,,,,
110,HAS_ARCHETYPE,70003,60003,TRUE,,9999,TRUE,1,FALSE,,,,,
111,HAS_ARCHETYPE,70004,60004,TRUE,,9999,TRUE,1,FALSE,,,,,
112,HAS_METAMODEL,60000,114,TRUE,,9999,TRUE,1,,,,,,
113,HAS_METAMODEL,60001,116,TRUE,,9999,TRUE,1,,,,,,
114,HAS_METAMODEL,60002,114,TRUE,,9999,TRUE,1,,,,,,
115,HAS_METAMODEL,60003,116,TRUE,,9999,TRUE,1,,,,,,
116,HAS_METAMODEL,60004,113,TRUE,,9999,TRUE,1,,,,,,
